epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6781.55,0.90097,0.51736,1.16543,0.9821,0.9906,0.99308,0.75163,0.8808,0.38916,1.17103,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6991.42,0.87058,0.5139,1.15766,0.98385,0.9906,0.99352,0.75421,0.87853,0.38645,1.17117,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7197.98,0.8734,0.49886,1.15159,0.97872,0.98785,0.99241,0.7529,0.87228,0.38776,1.17109,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7410.33,0.86904,0.49324,1.1536,0.98619,0.99195,0.99354,0.75374,0.87763,0.38263,1.15443,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7619.87,0.86572,0.48801,1.15727,0.98498,0.98658,0.99326,0.74994,0.87711,0.37602,1.16244,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7828.68,0.87158,0.48697,1.15444,0.98462,0.99463,0.99449,0.76145,0.8721,0.37338,1.1448,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8038.63,0.84634,0.47906,1.13857,0.98636,0.9906,0.99414,0.75939,0.8647,0.37285,1.1529,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8247.06,0.85109,0.48514,1.14193,0.98369,0.98926,0.99386,0.76351,0.86364,0.36883,1.14309,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8455.94,0.84787,0.46761,1.1469,0.98534,0.99261,0.99403,0.7659,0.85953,0.3728,1.15595,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8665.44,0.8459,0.47199,1.12619,0.98527,0.98776,0.99331,0.76277,0.86061,0.36357,1.14783,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8877.27,0.84659,0.46417,1.13184,0.99197,0.99459,0.99454,0.76373,0.86112,0.36456,1.1477,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9089.5,0.83137,0.45809,1.12056,0.98657,0.9861,0.99359,0.76025,0.86752,0.36017,1.14348,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9300.68,0.83643,0.46044,1.12648,0.98445,0.9906,0.99373,0.76746,0.86337,0.3545,1.14103,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9509.35,0.83239,0.46228,1.13395,0.98668,0.99462,0.99449,0.76137,0.85591,0.35197,1.1428,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9721.11,0.83191,0.45803,1.12277,0.98534,0.98926,0.99413,0.76272,0.8603,0.35412,1.14421,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9932.07,0.82554,0.44931,1.11535,0.97874,0.98861,0.99361,0.76845,0.85371,0.3502,1.14081,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
